CRITICAL -- 2010-10-06 02:07:18,693 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:07:19,416 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:07:19,418 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:09:49,449 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:09:55,691 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:09:56,669 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:09:57,327 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:09:57,328 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:10:18,011 --En base funcion:preview linea:359 -- printIdentifier debe implementarse para poder imprimir
CRITICAL -- 2010-10-06 02:10:21,400 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:10:22,862 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:10:23,553 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:10:23,555 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:10:25,970 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:10:27,033 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:10:27,606 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:10:27,608 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:10:28,041 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:10:28,865 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:10:29,255 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:10:29,256 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:10:44,886 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:10:45,582 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:10:46,076 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:10:46,076 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:15:09,087 --En user funcion:__init__ linea:339 -- El usuario bo se ha autenticado
ERROR -- 2010-10-06 02:15:16,660 --En base funcion:preview linea:359 -- printIdentifier debe implementarse para poder imprimir
CRITICAL -- 2010-10-06 02:15:20,435 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:15:21,477 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:15:21,930 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:15:21,932 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:15:30,095 --En base funcion:preview linea:359 -- printIdentifier debe implementarse para poder imprimir
INFO -- 2010-10-06 02:17:38,386 --En user funcion:__init__ linea:339 -- El usuario cont se ha autenticado
INFO -- 2010-10-06 02:20:00,442 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
ERROR -- 2010-10-06 02:20:10,935 --En user funcion:__init__ linea:347 -- No se ha podido autenticar al usuario cont
INFO -- 2010-10-06 02:20:12,497 --En user funcion:__init__ linea:339 -- El usuario cont se ha autenticado
INFO -- 2010-10-06 02:21:07,993 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:23:59,493 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:24:48,175 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:25:28,616 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:26:31,586 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:26:43,043 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
